LEMMA,POS,SENT_ID,AS_IS?,SENT_ID,AS_IS?,SENT_ID,AS_IS?,ENOUGH_CONTEXT_SENTENCES?,
considerevole,ADJ,2416904,,10115321,,9799263,,X,
copia,ADJ,,,,,,,,
adottare,NOM,4099065,,9821694,,9365127,,X,
spagnolo,VER,2576399,yes,10397705,yes,9876571,yes,X,
possibilità,,9972513,,10467758,,10467730,,X,
tavola,NOM,1878618,,3769842,,2442151,,X,
prevenire,NOM,1878618,,3769842,,9485687,,X,
coordinare,VER,4542505,,4504981,,9228194,,X,
concorso,VER,946780,yes,9707412,yes,,yes,,POLYSEMY
massimo,,9723397,yes,,yes,,yes,,
rapporto,,2215457,yes,1803977,yes,2575471,yes,X,
importare,,2438460,,1852464,,1840935,,X,
ascoltatore,VER,2782288,,1087213,,1872402,,X,
imbianchino,NOM,2782288,,5220727,,1035883,,X,
orgoglio,NOM,,,,,,,,
specialistico,NOM,,yes,,yes,,yes,,POLYSEMY
strumento,,9130920,yes,10303733,yes,10169402,yes,X,
immaginare,,2205998,,2477732,,1869319,,X,
agricoltore,VER,1677682,,2440528,,903213,,X,
violino,NOM,903213,,2440528,,9644732,,X,
evolutivo,NOM,2429163,,,,,,,
istituzione,ADJ,351824,yes,10051645,yes,10104451,yes,X,
secolo,,,,,,,,,
arabo,NOM,3841610,,2575471,,1313205,,X,
inaugurare,,2028576,,3841610,,10212467,,X,
coppa,VER,,,,,,,,
posizione,NOM,,,,,,,,
esploratore,NOM,1265197,,,,,,,
carboidrato,NOM,,,,,,,,
iniziativa,NOM,9858115,,9058654,,10376533,,X,
fisico,NOM,,,,,,,,
atteggiamento,ADJ,1834083,,4394279,,9939752,,X,
borsetta,NOM,2426969,,10300700,,9673881,,X,
mediocre,,9759555,yes,9684712,yes,10376065,yes,X,
soffrire,,,,,,,,,
imperatore,VER,4922687,yes,2943755,yes,666011,yes,X,
notizia,,2943755,yes,1916346,yes,5507265,yes,X,POLYSEMY
complesso,,1758771,,1772889,,375246,,X,
magnifico,ADJ,2038916,yes,3753377,yes,3077830,yes,X,
assieme,,2038916,,3753377,,10086856,,X,
manifestazione,ADJ,4377786,,3576088,,1577853,,X,
statua,NOM,4377786,,3576088,,9099844,,X,
disavventura,NOM,9398197,yes,10005480,yes,9000781,yes,X,POLYSEMY
intero,,,,,,,,,
maturità,ADJ,4862991,yes,621047,yes,947745,yes,X,
ferire,,4862991,yes,1583562,yes,10432468,yes,X,
rispettare,,1762755,,2209370,,2963083,,X,
prediligere,VER,2092829,,3545639,,5534295,,X,
inquinamento,VER,2092829,,4853062,,3545639,,X,
lupo,NOM,,yes,,yes,,yes,,POLYSEMY
vario,,,,,,,,,
produzione,ADJ,2162898,,2510709,,3025401,,X,
graduale,NOM,2510709,,2162898,,10061195,,X,
indispensabile,ADJ,9096461,,,,,,,
voluttà,ADJ,,,,,,,,
compositore,NOM,9981545,yes,10442806,yes,9853535,yes,X,
desiderare,,,,,,,,,
archeologia,VER,5792117,,1834561,,4684,,X,
superbia,NOM,1834561,,4684,,9236871,,X,
colpa,NOM,10469170,,9019571,,,,,
bilancio ,NOM,9637038,yes,9771258,yes,,yes,,
proposta,,3280444,yes,1858526,yes,9196743,yes,X,POLYSEMY
questione,,1842563,,4553452,,4510,,X,
scannerizzare,NOM,4558,yes,1754616,yes,2867846,yes,X,
necessario,,2215022,yes,1754616,yes,4558,yes,X,
basare,,4925416,yes,5800765,yes,373858,yes,X,POLYSEMY?
abbattere,,1200965,,3269735,,1964322,,X,
emozionante,VER,992748,,4703557,,432995,,X,
trasmettere,ADJ,992748,,4703557,,432995,,X,
concessione,VER,3435789,,2412248,,9225804,,X,
pratica,NOM,9854988,yes,9569307,yes,10340168,yes,X,
nessuno,,,,,,,,,
utente,ADJ,2912961,yes,2227907,yes,5562486,yes,X,
poliziotto,,2912961,,7529367,,6142706,,X,
sicuramente,NOM,1765105,yes,2685546,no,5770292,yes,X,POLYSEMY
avvisare,,2685546,,5770292,,9271655,,X,
scena,VER,1758723,,1758720,,1758717,,X,
accurato,NOM,9377384,,,,,,,
ombrellone,ADJ,,,,,,,,
tortiglione,NOM,1759642,,10018073,,9628725,,X,
punire,NOM,,,,,,,,
scorretto,VER,,yes,,no,,no,,POLYSEMY
prova,,1633225,,,,,,,
cogliere,NOM,1764874,,1265212,,3631492,,X,
materiale,VER,1764874,,,,,,,
decollare,NOM,2056093,,9247648,,9933640,,X,
fondare,VER,2728287,,379608,,995816,,X,
inosservato,VER,3743981,,1451502,,10269249,,X,
particolare,ADJ,2433015,yes,,yes,,yes,,
accorrere (accorgersi),,10031944,yes,9745278,yes,,yes,,
allievo,,3487076,,3264332,,1736257,,X,
testimonianza,NOM,2456093,,896791,,3213019,,X,
profilo,NOM,896791,,3213019,,10295372,,X,
ventilato,NOM,9925268,,,,,,,
follia,ADJ,1461855,,,,,,,
scultura,NOM,,,,,,,,
risalire,NOM,9338904,,9973878,,9602986,,X,
efficacia,VER,9641361,yes,9374313,yes,9644730,yes,X,
collezione,,9860319,,10310131,,9570099,,X,
generale,NOM,3897610,,1827034,,621740,,X,
negativo,NOM,1827034,yes,3897610,yes,10257957,yes,X,
evento,,,,,,,,,
quotidianamente,NOM,1964322,,897248,,2903233,,X,
dignitosamente,ADV,2257992,,2903233,,1964322,,X,
dettaglio,ADV,4434530,yes,,yes,,yes,,POLYSEMY
recente,,9840819,yes,,yes,,yes,,
comportamento,,2384663,yes,719474,yes,3000700,yes,X,
affascinante,,4892548,yes,2771914,yes,1055751,yes,X,
ricercatore,,621740,,2998378,,1905383,,X,
visitatore,NOM,1846947,,1846945,,2437684,,X,
vitamina,NOM,1846945,,1846947,,,,,
vaccino,NOM,350408,yes,10016537,yes,,yes,,
corsa,,4984420,yes,9763000,yes,10126451,yes,X,
titolo,,2596590,,1570092,,2383461,,X,
ripresa,NOM,2364212,,6173071,,3264402,,X,
realmente,NOM,2364212,yes,6173071,yes,6167273,yes,X,
effetto,,9068778,,10053844,,9385415,,X,
celebre,NOM,4874141,,3418770,,1904609,,X,
stancare,ADJ,4874141,,3418770,,10231051,,X,
esporre,VER,9406034,,9136577,,9116839,,X,
fauna,VER,10071031,,9385861,,1766141,,X,
asciugacapelli,NOM,900413,yes,10398286,yes,,yes,,
riconoscere,,,,,,,,,
evoluzione,VER,3116608,,1574453,,1699893,,X,
seguito,NOM,3116608,,1574451,,2465360,,X,
seguito,ADJ,,,,,,,,
rilevare,NOM,,,,,,,,
turno,VER,2466947,yes,749452,yes,2121642,yes,X,
duro,,,,,,,,,
comunità,ADJ,874313,,1312501,,4476394,,X,
personaggio,NOM,4476394,,1391628,,425862,,X,
sposato,NOM,1916694,yes,4422176,yes,10187392,yes,X,
re,,10264299,,,,,,,
severamente,NOM,1964028,,3027041,,1117127,,X,
rimborso,ADV,1964028,,3790092,,1117127,,X,
allegato,NOM,9011606,,9712434,,9803434,,X,
editoriale,NOM,10350474,,10247828,,,,,
fritto,ADJ,,,,,,,,
attrezzo,ADJ,,yes,,yes,,yes,,
ladro,,1693145,,3190039,,,,,
festeggiato,NOM,2685546,,350304,,1331175,,X,
faticare,NOM,2685546,,1331175,,350304,,X,
ipotizzare,VER,,,,,,,,
riferimento,VER,,,,,,,,
provocare,NOM,,yes,,yes,,yes,,
gestire,,,yes,,yes,,yes,,
latte,,1910190,,3425603,,1539321,,X,
saporito,NOM,5459958,yes,3462874,yes,1791881,yes,X,
peso,,5459958,yes,7242978,yes,3462874,yes,X,
ringraziare,,3116608,,2449761,,946807,,X,
incredibile,VER,1402851,,1005871,,5571385,,X,
manifesto,ADJ,1402851,,1005871,,5571385,,X,
usanza,NOM,2516175,,9330734,,9239690,,X,
viso,NOM,9135114,yes,,yes,,yes,,
tecnologia,,2197529,,,,,,,
racconto,NOM,707735,,3202878,,3410107,,X,
spedizione,NOM,3202878,,10060767,,,,,
spaventare,NOM,1196995,,3020705,,10391407,,X,
vulcano,VER,,,,,,,,
ingrediente,NOM,10440426,,10355830,,10388103,,X,
metropolitano,NOM,3461759,,9601879,,500255,,X,
universitario,ADJ,,yes,,yes,,yes,,
attendere,,,,,,,,,
salsiccia,VER,1014471,,350800,,2212511,,X,
ghiacciaio,NOM,2212511,yes,350800,yes,,yes,,
successo,,,,,,,,,
concretezza,NOM,1662750,,1786040,,1312501,,X,
ridotto,NOM,3352992,,1786040,,1312501,,X,
affascinare,ADJ,,,,,,,,
socio,VER,,yes,,yes,,yes,,
buco,,2197397,,,,,,,
targa,NOM,3477389,yes,2412089,yes,609493,yes,X,POLYSEMY
recuperare,,3477389,yes,2412089,yes,609493,yes,X,
cadere,,947557,,5074038,,947553,,X,
aumentare,VER,4880972,,1083505,,5548986,,X,
carriera,VER,4880972,,1083505,,5548986,,X,
tesoro,NOM,2810520,,9614143,,10439513,,X,
antichità,NOM,6765902,,3426024,,9811466,,X,
cristallino,NOM,860687,yes,9156400,yes,10185395,yes,X,Gebäude
edificio,ADJ,10093397,,,,,,,
motto,NOM,7044645,,3343661,,905742,,X,
professionista,NOM,7044645,,2416308,,3343661,,X,
intraprendere,NOM,9133975,,9383675,, ,,,
pallino,VER,10097293,,9811261,,9261742,,X,
dibattito,NOM,3426024,yes,9168851,yes,9605222,yes,X,
caso,NOM,,yes,,yes,,yes,,
politico,NOM,1762755,yes,1257065,yes,350327,yes,X,
politico,NOM,841779,yes,724948,yes,1513625,yes,X,
coltivare,ADJ,3755088,yes,978309,yes,1965622,yes,X,
assolutamente,VER,4545345,,966199,,4588241,,X,
attività,ADV,4407,yes,1009587,yes,839283,yes,X,
infanzia,NOM,4940872,yes,4407,yes,1086321,yes,X,"in der Lage, fähig"
capace,NOM,1874157,,1252611,,2784781,,X,
sincerità,ADJ,626845,,1073983,,1107157,,X,
salto,NOM,1326851,yes,626845,yes,1310411,yes,X,
rivelare,NOM,9831777,,9343125,,9785166,,X,qualcosa si rivela…
arduo,VER,1856762,,7529377,,4962705,,X,
